kod;masco2020;keterangan
;122119;Pengurus Pemasaran dan Pengoptimuman Enjin Carian (SEO)
;122201;Pengurus Pengiklanan
;122202;Pengurus Hal Ehwal Am
;122203;Pengurus Komunikasi
;122204;Pengurus Perhubungan Awam
;122205;Pengurus Pameran
;122206;Pengurus Khidmat Pelanggan
;122207;Pengurus Pusat Perhubungan
;122208;Pengurus Pusat Panggilan
;122209;Pengurus Operasi Pusat Panggilan
;122210;Pengurus Ketua Pusat Panggilan
;122211;Ketua Pasukan Pelanggan
;122212;Pengurus Perhubungan Pelanggan
;122213;Pengurus Media Sosial
;122214;Pengurus Pelancongan
;122215;Pengurus Majlis
;122216;Pengurus Tinjauan Soal Selidik
;122301;Pengurus Penyelidikan dan Pembangunan
;122302;Pengurus Pembangunan Produk
;122303;Pengurus Penyelidikan
;122304;Pengurus Penyelidikan dan Pembangunan, Pengilangan Makanan Halal
;122305;Pengurus Penyelidikan dan Pembangunan, Industri Halal
;131101;Pengurus Taman/Ladang Gred G41
;131102;Pengurus Perhutanan
;131103;Pengurus Ladang
;131104;Pengurus Hortikultur
;131105;Pengurus Pengeluaran dan Operasi Pertanian
;131106;Pengurus Pertanian
;131107;Pengurus Pengeluaran dan Operasi Penternakan
;131108;Pengurus Penternakan
;131109;Pengurus Estet
;131110;Pengurus Pengeluaran dan Operasi Perhutanan
;131111;Pengurus Veterinar
;131112;Pengurus, Rumah Sembelihan Halal
;131113;Pengurus Pengeluaran Ternakan Halal
;131114;Pengurus Padang, Rumput
;131115;Pengurus Penetasan
;131116;Pengurus Sains Semulajadi (Pertanian)
;131201;Pengurus Perikanan
;131202;Pengurus Pengeluaran dan Operasi Perikanan
;131203;Pengurus Operasi Akuakultur
;131204;Pengurus Operasi Penangkapan Ikan
;131205;Pengurus Pukat Tunda
;132101;Pengurus Pembuatan
;132102;Pengurus Pengeluaran dan Operasi Pembuatan
;132103;Pengurus Kilang
;132104;Pengurus Elektrik
;132105;Pengurus Tenaga
;132106;Pengilang
;132107;Pengurus Pengeluaran, Pemprosesan Makanan
;132108;Pengurus Pembuatan Badan Kapal
;132109;Pengurus Mekanikal
;132110;Pengurus Kimpalan
;132111;Pengurus Kilang Minyak 
;132112;Pengurus, Pengilangan Makanan Halal
;132113;Pengurus Pengeluaran, Pemprosesan Daging Halal
;132114;Pengurus Penyelenggaraan
;132115;Pengurus Loji Penjanaan Tenaga Biomas (BEGP)
;132116;Penolong Pengurus Loji Penjanaan Tenaga Biomas (BEGP)
;132117;Pengurus Operasi Loji Tapak Pelupusan Gas
;132118;Pengurus Loji Tapak Pelupusan Gas
;132119;Pengurus Operasi Loji Anaerobic Digester Biogas
;132120;Pengurus Loji Anaerobic Digester Biogas
;132121;Pengurus Pengeluaran Photovoltaic
;132122;Pengeluar Tenaga Gelombang
;132123;Perancang Penggunaan Bahan
;132124;Perancang Penggunaan Mesin dan Peralatan
;132125;Pengurus Operasi Pembuatan
;132126;Pengurus Loji Penjanaan Kuasa
;132127;Pengurus Stesen Kuasa
;132128;Pengurus Pengeluaran Kimia
;132129;Pengurus Pengeluaran Bekalan Gas
;132130;Pengurus Pengeluaran Penapisan Minyak
;132131;Pengurus Pengeluaran Penapisan Petroleum
;132132;Pengurus Pengeluaran Penjanaan Kuasa
;132133;Pengurus Reka bentuk
;132134;Pengurus Bahan Api Biologi
;132135;Ketua Pengilangan
;132136;Ketua Rawatan Panas (Logam)
