kod;masco2020;keterangan
;311931;Juruteknik Pencelupan
;311932;Juruteknik Kemasan Tekstil
;311933;Juruteknik Pencetakan
;311934;Juruteknik Fotokopi
;311935;Juruteknik Kawalan Serangga
;311936;Juruteknik Sisa Pepejal
;311937;Pembantu Juruteknik Sisa Pepejal
;311938;Juruteknik Air
;311939;Pembantu Juruteknik Air
;311940;Juruteknik Air Sisa
;311941;Pembantu Juruteknik Air Sisa
;311942;Juruteknik Lukisan
;311943;Juruteknik Pemprosesan Makanan
;311944;Juruteknik Pengisar Aci Engkol
;311945;Juruteknik Penyelidikan Agro-Based Biotek Makanan
;311946;Juruteknik Penyelidikan Biotek Akuakultur
;311947;Pembantu Juruteknik
;311948;Juruteknik Ujian
;311949;Juruteknik Kualiti Air
;311950;Juruteknik Perkakas
;311951;Penolong Pakar Pengeluaran
;311952;Penolong Eksekutif Pengeluaran
;311953;Juruteknik Pembuatan
;311954;Juruteknik Analisis Bahan
;311955;Pengendali Surface Mount Technology (SMT)
;312101;Penyelia Lombong
;312102;Penyelia Kuari
;312103;Penyelia Slickline
;312104;Penyelia Perkhidmatan
;312201;Penyelia Pembuatan
;312202;Penyelia Pengeluaran
;312203;Penyelia Kemasan
;312204;Penyelia Pembungkusan
;312205;Penyelia Pengkompaunan
;312206;Penyelia Barangan Siap
;312207;Penyelia Pemotong
;312208;Penyelia Kilang Papan
;312209;Penyelia Pemeriksaan Papan Lapis
;312210;Penyelia Penggergaji
;312211;Ketua Penyelia Hockman
;312212;Penyelia Balak
;312213;Penyelaras Kawasan. Pembuatan
;312214;lnspektor Kawalan Kualiti
;312215;Penyelia Kawalan Kualiti
;312216;Pengawal Kualiti
;312217;Pemeriksa Penguji Kualiti
;312218;Penyelia Pengeluaran, Pengilangan Makanan Halal
;312219;Penyelia Jaminan Kualiti, Pengilangan Makanan Halal
;312220;Penyelia Jaminan Kualiti, Pemprosesan Daging Halal
;312221;Penyelia Teknikal
;312222;Inspektor Non-Destructive Testing (NDT)
;312223;Penyelia
;312224;Penyelia Stor
;312225;Penyelia Syif
;312226;Penyelia Penyelenggaraan
;312227;Penyelia Gred P4
;312228;Penyelia, Rumah Sembelihan Halal
;312229;Penyelia Gudang, Operasi Logistik Halal
;312230;Pembantu Penyelia
;312231;Ketua Penyelia
;312232;Penyelia Kemudahan
;312233;Penyelia Penghantaran
;312234;Pengawal Robot Industri
;312235;Penyelia Jaminan Kualiti
;312301;Penyelia Operasi
;312302;Penyelia Projek
;312303;Penyelia Pembinaan
;312304;Penyelia Tapak
;312305;Penyelaras Tapak
;312306;Penyelia Keselamatan Tapak Bina
;312307;Penyelia Turap Jalan
;312308;Penyelia Landskap
;312309;Penyelia Penggerudian
;312310;Penyelia Persekitaran
;312311;Penyelia, Pembinaan Bangunan
;312312;Penyelia, Operasi Bangunan
;312313;Penyelia, Projek Bangunan
;312314;Penyelia, Tapak Bangunan
;312315;Inspektor Tapak 
;312901;Penyelia Pembersihan
;313101;Penghantar Muatan Kuasa Elektrik
;313102;Operator Papan Suis Elektrik
;313103;Operator Stesen Hidroelektrik
;313104;Operator Loji Penjanaan Kuasa
;313105;Operator Turbin, Stesen Kuasa
;313106;Pengendali Loji Tenaga Elektrik
;313107;Operator Loji Kuasa Elektrik
;313108;Operator Loji Kuasa Hidroelektrik
;313109;Operator Loji Kuasa Nuklear
;313110;Operator Loji Kuasa Solar
;313111;Operator Kawalan Pengagihan
;313112;Operator Station Penjana
;313113;Operator Sistem Kuasa
;313114;Operator Loji Penjanaan Tenaga Biomas (Penyediaan Bahan Api)
;313115;Penyelia Loji Penjanaan Tenaga Biomas (Bahan Binaan Mentah)
;313116;Juruteknik Sel Solar
;313117;Operator Reaktor Kuasa Nuklear
;313118;Juruteknik Bahan Api Biolog
;313119;Penyelia Bahan Api Biologi
;313120;Operator Loji Bahan Api Biologi
;313121;Operator, Panel Kawalan: Reaktor Nuklear
;313122;Penghantar. Beban: Elektrik (Power Station)
;313123;Operator, Panel Kawalan: Kuasa (Pengeluaran)
;313124;Operator, Penjana: Kuasa Elektrik
;313125;Operator, Loji Kuasa Geo-Thermal
;313126;Operator, Loji Gas Asli: Penjanaan Kuasa Elektrik
;313127;Operator, Loji Kuasa Nuklear
;313128;Operator, Penyukat: Elektrik Semasa
;313129;Operator, Loji Tenaga Wap
;313130;Operator, Papan Kuasa: Stesen Kuasa Elektrik
;313131;Operator, Papan Kuasa: Penjana Stesen Kuasa
;313132;Operator, Loji Kuasa Tidal
;313133;Operator, Turbin: Penjanaan Elektrik
;313134;Operator, Loji Tenaga Angin: Penjanaan Kuasa Elektrik
;313135;Juruteknik H2S (Hydrogen Sulfide) (Operasi) 
;313201;Operator Enjin Pegun
;313202;Operator Pemampat
;313203;Operator Pemampat Gas
;313204;Operator Loji lnsinerator
;313205;Operator Stesen Pengepaman
;313206;Operator Alat Pemanasan dan Pengalihudaraan
;313207;Operator Sistem Penyejukan
;313208;Operator Loji Kumbahan
;313209;Operator Loji Rawatan Air
;313210;Operator Mesin, Pengeluaran Ais
;313211;Operator Corong Tuang
;313212;Operator lnsenarator
;313213;Operator Proses Sisa Cecair
;313214;Operator Sisa Air
;313215;Penguasa Bekalan Air Gred J19
;313216;Merinyu Tali Air Gred J19
;313217;Penyelia Loji lnsinerator
;313218;Operator, Relau: Pelupusan Sampah
;313219;Operator, Panel Kawalan: lnsinerator
;313220;Operator, Panel Kawalan: Rawatan Air
;313221;Operator, Penapis: Air
;313222;Operator, Pembersihan Loji: Air
;313223;Pembekal. Loji Pembersihan Air
;313301;Juruteknik Proses Kimia
;313302;Penyelia Loji Kimia
;313303;Operator Loji- Kimia-Haba-Pemulihan
;313304;Operator Penapisan Kimia dan Pengasingan Peralatan
;313305;Pengendali Kimia-Pegun dan Reaktor
;313306;Penyelia Loji
;313401;Operator Pam Penapisan Petroleum
;313402;Operator Penyuling Penapisan Petroleum
;313403;Pengawal Penapisan Petroleum
;313404;Operator Penyahsulfur Penapisan Petroleum
;313405;Operator Loji Asetilena
;313406;Operator Loji Gas
;313407;Operator Loji Klarin
;313408;Operator Loji Oksigen
;313409;Operator Loji Parafin
;313410;Pengadun Penapisan Petroleum
;313411;Operator Pengolahan Penapisan Petroleum dan Gas Asli
;313412;Operator Stesen Pengepam Petroleum dan Gas Asli
;313413;Operator Loji Pencairan Gas
;313414;Pengisi dan Penguji Silinder (Gas Termampat dan Gas Cecair)
;313415;Operator Blender/petroleum and Natura! Gas Refining (ethvt)
;313416;Operator StiU/petro!eum and Natura! Gas Refining
;313417;Juruteknik Proses Penapisan
;313418;Operator Proses Petroleum
;313419;Penyelia Pengendali Dandang
;313420;Operator Tapak Loji
;313421;Operator Tapak Pelupusan Telaga Gas
;313422;Penyelia Kawalan Operasi Gas Tapak Pelupusan
;313423;Penyelia Loji Anaerobic Digester Biagas
;313424;Operator Pam
;313425;Operator Penyuling
;313426;Pengawal Penapisan Am
;313427;Operator Slickline
;313501;Pengawal Mesin Penggelek Logam
;313502;Pengeset, Logam
;313503;Operator Kawalan Proses Logam
;313504;Operator Relau Letupan
;313505;Caster Kawalan Pusat
;313506;Pengendali Kawalan Kilang Guling
;3139;JURUTEKNIK KAWALAN PROSES YANG TIDAK DIKELASKAN DI MANA-MANA
;314101;Juruteknik Biologi
;314102;Juruteknik Entomologi
;314103;Juruteknik Tisu Kultur
;314104;Juruteknik Botani
;314105;Pembantu Botani
;314106;Pembantu Makmal Penyelidikan Botani
;314107;Juruteknik, Pembiakbakaan Buatan
;314108;Pembantu Makmal Penyelidikan, Pembiakbakaan Buatan
;314109;Juruteknik Zoologi
;314110;Pembantu Makmal Penyelidikan Zoologi
;314111;Taksidermis
;314112;Pembantu Penyelidik
;314113;Juruteknik Bakteriologi
;314114;Juruteknik Biokimia
;314115;Juruteknik Herbarium
;314116;Juruteknik Farmakologi
;314117;Juruteknik Serologi
;314118;Pembantu Entomologi
;314201;Juruteknik Agronomi
;314202;Juruteknik Penyelidikan Tanaman
;314203;Juruteknik Sains Tanih
;314204;Juruteknik Florikultur
;314205;Juruteknik Hortikultur
;314206;Juruteknik Olerikultur
;314207;Juruteknik Pomologi
;314208;Juruteknik Tapak Semaian
;314209;Pengawal Tali Air
;314210;Juruteknik Tenusu
;314211;Pegawai Teknikal Ladang Tanaman
;314212;Penguji Ternakan
;314213;Pegawai Teknikal Hortikultur
;314214;Pegawai Teknikal Ternakan
;314215;Pembantu Pertanian
;314216;Penolong Pegawai Pertanian Gred G29
;314217;Penolong Pegawai Rancangan Tanah Gred G29
;314218;Penyelia Pengeluaran Ternakan Halal
;314219;Penolong Pengurus Taman/Ladang Gred G29
;314220;Pembantu Taman/Ladang Gred G19
;314221;Penyelia Rancangan Tanah Gred G19
;314301;Juruteknik Arborikultur
;314302;Juruteknik Perhutanan
;314303;Juruteknik Silvikultur
;314304;Penolong Pemelihara Hutan Gred G29
;314305;Penolong Pegawai Hidupan Liar Gred G29
;314306;Pembantu Hidupan Liar Gred G19
;314401;Juruteknik Penetasan
;314402;Penyelia Penetasan
;314403;Juruteknik Perikanan
;314404;Pembantu Penetasan
;314405;Juruteknik Akuakultur
;314406;Pembantu Perikanan
;314407;Penolong Pegawai Perikanan Gred G29
;314408;Pembantu Perikanan Gred G19
;315101;Juruteknik Keselamatan Trafik Udara
;315102;Juruteknik Pesawat
;315103;Juruteknik Penyelenggaraan Penerbangan
;315104;Juruteknik Perkhidmatan Pesawat
;315105;Juruteknik Penyelenggaraan Pesawat (Kerangka Pesawat Udara)
;315106;Juruteknik Penyelenggaraan Pesawat (Enjin)
;315107;Pemulih Pesawat
;315108;Juruteknik Loji Kuasa dan Kerangka Pesawat Udara
;315109;JuruteknikKerangka Pesawat Udara
;315110;Juruteknik Helikopter
;315111;Juruteknik Enjin Jet
;315112;Juruteknik Sistem Pneudraulic (Pesawat)
;315113;Juruteknik LojiKuasa (Pesawat)
;315114;Juruteknik Komponen Enjin Roket
;315115;Penolong Pemeriksa Kapal Terbang Gred A29
;315116;Penolong Pegawai Kawalan Trafik Udara Gred A29
;315117;PenyediaKerja,Teknikal (Pesawat)
;315118;Penyelia Perancangan Dok. Pesawat
;315119;Perancang Dok, Pesawat
;315120;Perancang Bengkel, Pesawat
;315121;Pengawal Bahan, Pesawat
;315122;Juruteknik Avionic
;315201;Pembantu Laut Gred A19
;315202;Pengawal Tambatan
;315203;Juragan Perahu Layar
;315204;Penyelia Trafik Kapal Kargo
;315205;Juruteknik Enjin Marin
;315206;Juruteknik Kapal
;315207;Penyelia Marin
;315208;Penolong Pegawai Laut Gred A29
;315301;Juruteknik Kereta api
;315302;Penyelia Kereta api
;315303;Penyelia Lokomotif
;315304;Penyelia Transit Aliran Ringan
;315305;lnspektor Kereta api
;315306;Juruteknik Rangkaian Trek
;315307;Juruteknik lsyarat dan Komunikasi
;315308;Juruteknik Gerakan Rel Stok
;315401;Juruteknik Kenderaan
;315402;Juruteknik Sistem Enjin dan Minyak Kenderaan Bermotor
;315403;Juruteknik Mekatronik Kenderaan Bermotor
;315404;Juruteknik Automotif Sistem Brek
;315405;Juruteknik Bingkai Badan Kenderaan
;315406;Juruteknik Kenderaan Bermotor
;315407;Penolong Pereka Kenderaan Teknologi Hijau
;315408;Juruteknik Kren
;315409;Juruteknik Kejuruteraan Automotif
;315901;Penyelia Pengangkutan Jalan
;315902;Penyelia Logistik
;315903;Penyelia Pengangkutan, Operasi Logistik Halal
;315904;Penolong Fasilitator lnfrastruktur Teknologi Hijau
;316101;Juruteknik Nuklear
;321101;Juru x-Ray Gred U29
;321102;Juru x-Ray
;321103;Juruteknik Radiologi
;321104;Radiographer Perubatan Diagnostik
;321105;Mammografer
;321106;Ahli Terapi Radiasi Perubatan
;321107;Ahli Teknologi Perubatan Nuklear
;321201;Juruteknik Anatomi
;321202;Juruteknik Bank Darah
;321203;Juruteknik Biofizik
;321204;Juruteknik Ekologi
;321205;Juruteknik Genetik
;321206;Juruteknik Hematologi
;321207;Juruteknik Histologi
;321208;Juruteknik Sitologi
;321209;Juruteknik Fisiologi
;321210;Juruteknik Patologi
;321211;Juruteknik Sains Perubatan
;321212;Pembantu Parasitologi
;321213;Juruteknik Makmal Perubatan
;321214;Juruteknik Pembedahan
;321215;Juruteknologi Makmal Perubatan Gred U29
;321216;Juruteknologi Makmal Perubatan
;321301;Pembantu Farmaseutikal
;321302;Pembantu Makmal Farmaseutikal
;321303;Juruteknik Farmasi
;321304;Pembantu Farmasi
;321305;Penolong Pegawai Farmasi Gred U29
;321306;Penolong Farmasi
;321401;Juruteknik Pergigian
;321402;Denturist
;321403;Juruteknik Ortotik
;321404;Orthotist
;321405;Juruteknologi Pergigian Gred U29
;321501;Juruteknik Ortopedik
;321502;Juruteknik Prostetik
;321503;Juruteknik Perubatan Gred Ul9
;322101;Jururawat Gred U29
;322102;Pembantu Jururawat
;322103;Jururawat Pendaftaran
;322104;Jururawat Praktikal
;322201;Bidan
;322202;Pembantu Bidan
;323101;Pengamal Perubatan Tradisonal Melayu
;323102;Pengamal Perubatan Tradisional Cina
;323103;Pengamal Perubatan Tradisional India
;323104;Pendispens Ubat Tradisional Cina
;323105;Bomoh
;323106;Juruterapi Bekam
;323107;Bomoh Tulang
;323108;Ahli Herba
;323109;Ahli Refleksologi
;323110;Juruteknik Akupuntur
;323111;Juruteknik Ayurvedik
;323112;Pembantu Kiropraktik
;324101;Pembantu Veterinar Gred G19
;324102;Juruteknik Veterinar
;324103;Juruteknik Penyelidikan Biotek Veterinar
;324104;Pemvaksin Veterinar
;324105;Pembantu Veterinar
;324106;Pembantu Veterinar Permanian Beradas
;324107;Veterinar Permanian Beradas
;324108;Juruteknik Pengeluaran Biotek Veterinar
;324109;Jururawat Veterinar
;324110;Penolong Pegawai Veterinar Gred G29
;325101;Pembantu Pembedahan Pergigian Gred U19
;325102;Jururawat Kesihatan Pergigian
;325103;Jururawat Pergigian
;325104;Jururawat Sekolah Pergigian
;325105;Penolong Pergigian
;325106;Jurupembersihan Pergigian
;325107;Juruterapi Pergigian Gred U29
;325201;Juruteknik Rekod Perubatan
;325202;Pengkod Klinikal
;325203;Juruteknik Pendaftaran Penyakit
;325204;Juruanalisis Rekod Perubatan
;325205;Kerani lnformasi Kesihatan
;325206;Kerani Rekod Perubatan
;325301;Pembantu Kesihatan Masyarakat
;325302;Promoter Kesihatan Masyarakat
;325303;Pekerja Kesihatan Masyarakat
;325304;Pekerja Kesihatan Kampung
;325305;Jururawat Masyarakat Gred U19
;325401;Juruoptik Pendispensan Kanta Lekap
;325402;Juruoptik Kanta Lekap
;325403;Juruoptik Pendispensan
;325501;Pembantu Jurupulih Anggota
;325502;Juruelektroterapi
;325503;Ahli Terapi Acupressure
;325504;Ahli Hydroterapi
;325505;Juruterapi Urutan
;325506;Juruteknik Jurupulih Anggota
;325507;Juruteknik Pemulihan Fizikal
;325508;Juruterapi Shiatsu
;325509;Jurupulih Perubatan Gred U29
;325510;Penolong Pengurus Kes Gred 19
;325601;Pembantu Makmal Perubatan
;325602;Penolong Hospital
;325603;Pembantu Perubatan
;325604;Pembantu Klinik
;325605;Juruperalatan Radiograf
;325606;Juruperalatan Radiograf Perubatan Am
;325607;Jurukelengkapan X-Ray
;325608;Juruperalatan Elektrokardiograf
;325609;Juruperalatan Elektroensefalograf
;325610;Juruperalatan Pengimbasan
;325611;Jurusonografi
;325612;Juruultrasonografi
;325613;Pengajar Klinikal
;325614;Pembantu Ophthalmic
;325615;Penolong Pegawai Perubatan Gred U29
;325701;Pemeriksa Kesihatan Awam
;325702;Pemeriksa Keselamatan Kesihatan Awam
;325702;Pemeriksa Unit Kesihatan Awam
;325704;Pemeriksa Restoran Kesihatan Awam
;325705;Pemeriksa Kesihatan dan Keselamatan Pekerjaan
;325706;Pemeriksa Kebersihan Pekerjaan Persekitaran
;325707;Pemeriksa Keselamatan Pekerjaan
;325708;Pemeriksa Kesihatan Pekerjaan
;325709;Penyelia Kesihatan Pekerjaan
;325710;Pemeriksa Kebersihan Pekerjaan
;325711;Juruteknik Kebersihan Pekerjaan
;325712;Pemeriksa Kualiti Produk
;325713;Juruteknik Kesihatan dan Keselamatan
;325714;Pemeriksa Keselamatan dan Kesihatan Pencemaran
;325715;Pemeriksa Keselamatan dan Kesihatan Perlindungan Pengguna
;325716;Pemeriksa Keselamatan dan Kesihatan
;325717;Pemeriksa Sanitari
;325718;Pemeriksa Standard Sanitari
;325719;Pemeriksa Keselamatan Kenderaan
;325720;Pemeriksa Pusat Kecantikan
;325721;Pemeriksa Barangan Berbahaya
;325722;Pemeriksa Sampah Berbahaya
;325723;Juruteknik Keselamatan dan Kesihatan Persekitaran
;325724;Pemeriksa Kesihatan Persekitaran
;325725;Penyelia Lapangan - Keselamatan dan Kesihatan Pekerjaan
;325726;Pemeriksa Kerosakan Banjir
;325727;Pemeriksa Makanan
;325728;Pemeriksa Sisa Berbahaya
;325729;Pemeriksa Standard Kesihatan
;325730;Pemeriksa Hotel dan Restoran
;325731;Pemeriksa Kebersihan lndustri
;325732;Pemeriksa Kawalan Sisa lndustri
;325733;Pemeriksa Jururawat Rumah
;325734;Pemeriksa Pelupusan Kumbahan
;325735;Pemeriksa Air
;325736;Pemeriksa Keselamatan Lombong
;325737;Pemeriksa Lombong
;325738;Pemeriksa Kawalan Pencemaran
;325739;Pemantau Radiasi
;325740;Pemeriksa Restoran
;325741;Pemeriksa Kawalan Tikus
;325742;Pemeriksa Keselamatan dan Sanitari
;325743;Pemeriksa Loji Sisa Rawatan Air
;325744;Pemeriksa Sanitasi  dan Keselamatan Makanan
;325745;Pemeriksa Kesihatan
;325746;Penyelaras Keselamatan dan Persekitaran
;325747;Penolong Pegawai Teknologi Makanan Gred C29
;325748;Penolong Pegawai Kesihatan Persekitaran Gred U29
;325749;Penolong Pegawai Kawalan Alam Sekitar Gred C29
;325750;Pembantu Teknologi Air
;325801;Pembantu Ambulans
;325802;Pegawai Ambulans
;325803;Paramedik Ambulans
;325804;Juruteknik Perubatan Kecemasan
;325805;Juruteknik Kecemasan
;3259;PROFESIONAL BERSEKUTU KESIHATAN YANG TIDAK DIKELASKAN DI MANA-MANA
;325901;Perunding Kesihatan
;331101;Broker Sekuriti
;331102;Broker Stok dan Saham
;331103;Broker Pertukaran Matawang Asing
;331104;Broker Stok
;331105;Broker Pelaburan
;331106;Perunding Matawang Asing
;331107;Pedagang Forex
;331108;Pedagang Pendapatan Tetap
;331109;Perunding Kewangan
;331110;Penganalisis Kewangan
;331111;Pegawai Broker
;331201;Pegawai Gadai Janji
;331202;Pegawai Pinjaman
;331203;Eksekutif Kawalan Kredit
;331204;Penyelia Kredit
;331205;Eksekutif Tuntutan
;331206;Pegawai Lejar Am
;331207;Eksekutif Kos
;331208;Juruanalisis Kredit
;331209;Pegawai Kredit
;331210;Pegawai Risiko Kredit
;331211;Pakar Kawalan Kredit Pesanan Tunai (O2C)
;331301;Penyimpan Kira
;331302;Penyelia Akaun
;331303;Penyelia Kewangan
;331304;Penolong Akauntan Gred W29
;331305;Penolong Juruaudit Gred W29
;331306;Penolong Pegawai Eksekutif (Perakaunan) Gred 31
;331307;Penolong Pegawai Eksekutif (Perakaunan) Gred 6
;331308;Penolong Pegawai Eksekutif (Perakaunan) Gred LB
;331309;Penolong Pegawai Eksekutif Perakaunan
;331310;Penolong Pegawai Akaun
;331311;Penolong Pegawai Eksekutif (Pengauditan) Gred 31
;331312;Penolong Pegawai Eksekutif (Pengauditan) Gred 6
;331313;Penolong Pegawai Eksekutif Pengauditan
;331314;Penolong Pegawai Eksekutif (Pengauditan) Gred LB
;331315;Penolong Pegawai Eksekutif (Kewangan) Gred LB
;331316;Penolong Juruaudit Dalaman
;331317;Juruteknik Perakaunan
;331318;Juruteknik Audit Tenaga
;331319;Pegawai Kerja Akaun Gred 19
;331320;Penolong Audit
;331321;Penolong Juruaudit
;331322;Penolong Akauntan
;331323;Penolong Pengawal Kewangan
;331324;Agen Cukai
;331401;Penolong Pegawai Perangkaan Gred E29
;331501;Pentaksir
;331502;Jurunilai
;331503;Pentaksir Hasil
;331504;lnspektor Tuntutan
;331505;Pentaksir Tuntutan
;331506;Pelaras lnsurans
;331507;Pentaksir lnsurans
;331508;Pentafsir Hartanah
;331509;Penolong Pegawai Penilaian Gred W29
;332101;Ejen lnsurans
;332102;Broker Insurans
;332103;Penaja Jamin lnsurans
;332104;Perunding lnsurans
;332105;Wakil lnsurans
;332106;Penaja Jaminan Tuntutan
;332107;Penaja Jamin Bukan Motor
;332108;Penaja Jaminan lnsurans Am
;332109;Pegawai Tuntutan
;332201;Jurujual Komersil
;332202;Penasihat Khidmat Lepas Jualan
;332203;Pencarilangganan
;332204;Wakil Jualan
;332205;Jurujual Pelancongan
;332206;Jurujual Teknikal
;332207;Ejen Jualan Kejuruteraan
;332208;Ejen Jualan Teknikal
;332209;Wakil Jualan Teknikal Komersil
;332210;Jurujual Perkhidmatan Perniagaan Pengiklanan
;332211;Jurujual Sokongan
;332212;Jurujual Kereta
;332213;Jurujual Kenderaan Bermotor
;332214;Jurujual Motosikal
;332215;Wakil Jualan Gred P4
;332216;Penolong Pegawai Pemasaran
;332217;Jurujual, Pembuatan
;332218;Jurujual Kedai
;332219;Jurujual Pertubuhan Runcit
;332220;Jurujual Pertubuhan Borong
;332221;Wakil Jualan, Pembuatan
;332222;Perunding Jualan, Pembuatan
;332223;Perunding, Pemasaran
;332224;Penolong Pembangunan Perniagaan
;332301;Eksekutif Perancangan dan Pengagihan
;332302;Eksekutif Pembelian
;332303;Pembeli
;332304;Pembeli, Pembelian Pengeluaran
;332305;Ejen Pemerolehan
;332306;Eksekutif Pemerolehan
;332307;Ejen Pembelian
;332308;Pegawai Pemerolehan
;332309;Pegawai Bekalan
;332310;Pedagang Pembelian
;332311;Eksekutif Pembelian, Pengilangan Makanan Halal
;332312;Eksekutif Pembelian, Pemprosesan Daging Halal
;332313;Ketua Pembelian
;332314;Ejen Pembeli
;332315;Pakar Operasi Pembelian Untuk Membayar 
;332316;Penganalisis Sokongan Perolehan
;332317;Eksekutif Pengumpulan
;332318;Eksekutif Proses Pesanan
;332318;Eksekutif Proses Pesanan
;332401;Broker Komoditi
;332402;Broker Perkapalan
;332403;Broker Perdagangan
;333101;Ejen Pelepasan
;333102;Ejen Pengangkutan
;333103;Ejen Perkapalan
;333104;Ejen Pelepasan dan Pengangkutan
;333201;Ejen Pameran dan Konvensyen
;333202;Penganjur Pameran dan Konvensyen
;333203;Ejen Pelancongan
;333204;Penganjur Pelancongan
;333205;Penganjur Persidangan dan Acara
;333206;Perancang Perkahwinan
;333207;Perancang Persidangan
;333208;Perancang Acara
;333301;Ejen Pengambilan Pekerja
;333302;Pegawai Penempatan Pekerjaan
;333303;Kontraktor Buruh
;333401;Ejen Hartanah
;333402;Ejen Harta
;333403;Peniaga Harta
;333404;Perunding Harta
;333405;Ejen Estet
;333406;Jurujual Hartanah
;333407;Perunding Penyelesaian Konflik
;333901;Jurulelong
;333902;Ejen Kesusasteraan
;333903;Ejen Persembahan Muzik
;333904;Ejen Sukan
;333905;Ejen Teater
;333906;Penganjur Sukan
;334101;Bentara Mesyuarat Gred N29
;334102;Penyelia Kemasukan Data
;334103;Penyelia Kerani Kemasukan Wad Hospital
;334104;Penyelia Kerani Pemfailan
;334105;Penyelia Pentadbiran
;334106;Penyelia Perkeranian
;334107;Penyelia Unit Rekod Perubatan
;334108;Penyelia Kerani Personel
;334109;Penyelia Sumber Manusia
;334110;Pelatih Pengurusan
;334111;Pentadbir Kilang
;334112;Penolong Pegawai Ehwal Ekonomi Gred E29
;334113;Penolong Pegawai Penerangan Gred S29
;334114;Penolong Perancang Bahasa Gred S29
;334115;Penolong Pegawai Tadbir Gred N29
;334116;Penolong Pegawai Penerbitan Gred N29
;334117;Penolong Pengurus Asrama Gred N29
;334118;Penolong Pegawai Eksekutif (Pentadbiran) Gred LB
;334119;Penolong Pegawai Eksekutif Pentadbiran
;334120;Penolong Pegawai Eksekutif (Pentadbiran) Gred 31
;334121;Penolong Pegawai Eksekutif (Ekonomi) Gred 6
;334122;Pelatih Hal Ehwal Korporat
;334123;Penolong Pegawai Sahagian Pensijilan
;334124;Pelatih Pengeluaran
;334125;Pegawai Eksekutif Gred 19
;334201;Setiausaha Perundangan
;334301;Penolong Pegawai Eksekutif (Kesetiausahaan) Gred 31
;334302;Penolong Pegawai Eksekutif (Kesetiausahaan) Gred 6
;334303;Penolong Pegawai Eksekutif (Kesetiausahaan) Gred LB
;334304;Pembantu Peribadi
;334305;Pembantu Eksekutif Pentadbiran
;334306;Setiausaha Eksekutif Pentadbiran Kerajaan
;334307;Setiausaha Syarikat (sektor awam)
;334308;Jurulapor Kata Demi Kata
;334309;Ketua Setiausaha Pejabat
;334310;Setiausaha Eksekutif
;334311;Setiausaha Eksekutif Jawatankuasa
;334312;Setiausaha Eksekutif Pentadbiran Bukan Kerajaan
;334313;Setiausaha Eksekutif Pentadbiran
;334314;Setiausaha Syarikat
;334315;Pegawai Konsul
;334316;Penolong Pegawai Eksekutif Kesetiausahaan
;334317;Setiausaha Pentadbiran
;334318;Pembantu Surat-Menyurat
;334401;Setiausaha Perubatan
;334402;Pembantu Perubatan, Pentadbiran
;334403;Setiausaha Wad Hospital
;334404;Setiausaha Penjagaan Pesakit
;334405;Stenografer Perubatan
;334406;Pembantu lnsurans Perubatan
;334407;Setiausaha Bil Perubatan
;334408;Setiausaha Patologi
;334409;Ahli Transkripsi Perubatan
;341101;Bailif
;341102;Pembantu Perundangan
;341103;Kerani Pemindahhakkan
;341104;Pembantu Peguam
;341105;Kerani Undang-undang
;341106;Kerani Hakim
;341107;Kerani Mahkamah
;341108;Kerani Litigasi
;341109;Pembantu Barister
;341110;Pembantu Peguamcara
;341111;Penolong Pegawai Undang-undang Gred L29
;341112;Penolong Pegawai Eksekutif (Undang-undang) Gred 31
;341113;Penolong Pegawai Eksekutif (Perundangan) Gred 6
;341114;Penolong Pegawai Eksekutif (Perundangan) Gred LB
;341115;Penolong Perundangan
;341116;Penolong Pegawai Eksekutif Perundangan
;341117;Penolong Pegawai Syariah Gred LS29
;351101;Juruteknik Komputer Gred FT19
;351102;Pembantu Tadbir (Operator Komputer) Gred 21
;351103;Pembantu Tadbir (Juruteknik Komputer) Gred 21
;351104;Pembantu Eksekutif (Teknologi Maklumat) Gred 3
;351105;Juruteknik Komputer
;351106;Jurukelengkapan Jitu Komputer
;351107;Jurukelengkapan Jitu Komputer Konsol
;351108;Jurukelengkapan Jitu Komputer Pencetak Kelajuan Tinggi
;351109;Jurupemprosesan Data Elektronik (EDP)
;351110;Pembantu Kejuruteraan Komputer
;351111;Penolong Penyelia Pemprosesan Data Elektronik (EDP)
;351112;Penyelia Pemprosesan Data Elektronik
;351113;Juruteknik Semikonduktor
;351114;Juruteknik Sistem Maklumat
;351115;Pembantu Teknologi Maklumat
;351116;Pengendali Konsol Komputer
;351117;Operator Sistem
;351118;Operator Komputer
;351119;Pengendali Pencetak Komputer Berkelajuan Tinggi
;351120;Operator Peralatan Periferal Komputer
;351121;Juruteknik Perkakasan
;351122;Pembantu Tadbir Juruteknik Komputer
;351123;Pembantu Kejuruteraan Telekomunikasi
;351124;Penyelia Sistem Maklumat Pengurusan
;351125;Penolong Pegawai Teknologi Maklumat Gred FA29
;351126;Penolong Pegawai Eksekutif (Teknologi Maklumat) Gred 31
;351127;Penolong Pegawai Eksekutif (Teknologi Maklumat) Gred 6
;351128;Penolong Pegawai Eksekutif (Teknologi Maklumat) Gred LB
;351129;Penolong Pegawai Teknologi Maklumat
;351130;Penolong Eksekutif Sistem Komputer
;351131;Juruteknik Perkhidmatan (Pencetak Pelbagai Fungsi)
;351132;Penolong Juruanalisis Sistem Komputer
