#;RECORD_VERSION;Kod Ringkas;Kod Penuh;NAMA_MELAYU;NAME_EN;c1;c2;c3;c4;UNIT;Catatan
"";"2009v1.1";"113105";"113105001";"Spinach, New Zealand spinach and orache spinach (garden spinach)";"Spinach, New Zealand spinach and orache spinach (garden spinach)";"1215";"070970000";"";"";"";""
"";"2009v1.1";"113105";"113105002";"Bayam (chinese spinach)";"Bayam (chinese spinach)";"1215";"070970000";"";"";"";""
"";"2009v1.1";"113106";"113106001";"Glove artichokes";"Glove artichokes";"1216";"070910000";"";"";"";""
"";"2009v1.1";"113107";"113107001";"Kangkong (water spinach)";"Kangkong (water spinach)";"1219";"070990900";"";"";"";""
"";"2009v1.1";"113107";"113107002";"Cekur manis (Sweet shoot)";"Cekur manis (Sweet shoot)";"1219";"070990900";"";"";"";""
"";"2009v1.1";"113107";"113107003";"Maman (gynandropsis gynandra)";"Maman (gynandropsis gynandra)";"1219";"070990900";"";"";"";""
"";"2009v1.1";"113107";"113107004";"Selada air (water cress)";"Selada air (water cress)";"1219";"070990900";"";"";"";""
"";"2009v1.1";"113107";"113107005";"Other leafy or stem vegetables";"Other leafy or stem vegetables";"1219";"070990900";"";"";"";""
"";"2009v1.1";"113201";"113201001";"Cucumbers and gherkins";"Cucumbers and gherkins";"1232";"070700000";"";"";"";""
"";"2009v1.1";"113202";"113202001";"Aubergines (egg-plants)";"Aubergines (egg-plants)";"1233";"070930000";"";"";"";""
"";"2009v1.1";"113203";"113203001";"Tomatoes";"Tomatoes";"1234";"070200000";"";"";"";""
"";"2009v1.1";"113204";"113204001";"Angled loofah (Petola)";"Angled loofah (Petola)";"1235";"070200000";"";"";"";""
"";"2009v1.1";"113204";"113204002";"Snake gourd (Petola ular)";"Snake gourd (Petola ular)";"1235";"070200000";"";"";"";""
"";"2009v1.1";"113204";"113204003";"Bitter gourd (Peria)";"Bitter gourd (Peria)";"1235";"070200000";"";"";"";""
"";"2009v1.1";"113204";"113204004";"Bottle gourd (Labu air)";"Bottle gourd (Labu air)";"1235";"070200000";"";"";"";""
"";"2009v1.1";"113204";"113204005";"Pumpkin (Labu manis)";"Pumpkin (Labu manis)";"1235";"070200000";"";"";"";""
"";"2009v1.1";"113204";"113204006";"Wax gourd (Kundur)";"Wax gourd (Kundur)";"1235";"070200000";"";"";"";""
"";"2009v1.1";"113205";"113205001";"Lady's fingers (kacang bendi)";"Lady's fingers (kacang bendi)";"1239";"070990200";"";"";"";""
"";"2009v1.1";"113205";"113205002";"Capers";"Capers";"1239";"070990200";"";"";"";""
"";"2009v1.1";"113205";"113205003";"Other fruit bearing vegetable, shelled or unshelled";"Other fruit bearing vegetable, shelled or unshelled";"1239";"070990200";"";"";"";""
"";"2009v1.1";"113301";"113301001";"Watermelons";"Watermelons";"1221";"080711000";"";"";"";""
"";"2009v1.1";"113302";"113302001";"Honeydew (tembikai susu)";"Honeydew (tembikai susu)";"1229";"080719000";"";"";"";""
"";"2009v1.1";"113302";"113302002";"Rock Melons";"Rock Melons";"1229";"080719000";"";"";"";""
"";"2009v1.1";"113302";"113302003";"Other melons";"Other melons";"1229";"080719000";"";"";"";""
"";"2009v1.1";"113401";"113401001";"Mushrooms";"Mushrooms";"1270";"070951000";"";"";"";""
"";"2009v1.1";"113401";"113401002";"Truffles";"Truffles";"1270";"070952000";"";"";"";""
