"";"A";"01222";"Penanaman mangga";"01222";"_"
"";"A";"01223";"Penanaman durian";"01223";"[pokok durian belanda rujuk 01229]"
"";"A";"01224";"Penanaman rambutan";"01224";"_"
"";"A";"01225";"Penanaman buah belimbing";"01225";"_"
"";"A";"01226";"Penanaman betik";"01226";"_"
"";"A";"01227";"Penanaman nanas";"01227";"_"
"";"A";"01228";"Penanaman buah naga";"01228";"_"
"";"A";"01229";"Penanaman buah-buahan tropika dan subtropika lain t.t.t.l. (2)";"01229";"(2) Termasuk: ciku, duku, duku langsat, langsat, dokong, cempedak, kedondong, durian belanda, salak, pulasan, longan, mata kucing, nangka, manggis dan avokado"
"";"A";"0123";"Penanaman buah-buahan limau/sitrus";"_";"_"
"";"A";"01231";"Penanaman limau bali";"01231";"_"
"";"A";"01232";"Penanaman lemon dan limau nipis(3)";"01232";"(3) Termasuk: penanaman limau (rempah)"
"";"A";"01233";"Penanaman tangerin dan limau mandarin";"01233";"_"
"";"A";"01239";"Penanaman buah-buahan limau/sitrus lain t.t.t.l.";"01239";"_"
"";"A";"01";"BAHAGIAN 01 : PENGELUARAN TANAMAN DAN TERNAKAN, PEMBURUAN DAN AKTIVITI PERKHIDMATAN BERKAITAN";"_";"_"
"";"A";"012";"Kumpulan 012 : Penanaman tanaman kekal";"_";"_"
"";"A";"0124";"Penanaman buah-buahan delima dan buah-buahan berbiji";"_";"_"
"";"A";"01241";"Penanaman jambu batu";"01241";"_"
"";"A";"01249";"Penanaman buah-buahan delima dan berbiji lain t.t.t.l.";"01249";"_"
"";"A";"0125(1)";"Penanaman pokok lain dan buah-buahan bertandan dan kekacang";"_";"(1) Tidak termasuk:<br>(a) penanaman kelapa, lihat 01263<br>(b) pengutipan beri atau kekacang, lihat 02309"
"";"A";"01251";"Penanaman buah beri(2)";"01251";"(2)Termasuk: strawberi, beri biru, currants, buah cermai, buah kiwi, raspberi dan buah beri lain"
"";"A";"01252";"Penanaman biji benih buah-buahan";"01252";"_"
"";"A";"01253";"Penanaman kekacang yang boleh dimakan(3)";"01253";"(3)Termasuk: penanaman badam, gajus, buah berangan, kacang hazel, kacang pistachio, walnut"
"";"A";"01259";"Penanaman pokok dan buah-buahan bertandan lain(4)";"01259";"(4)Termasuk: penanaman kacang belalang"
"";"A";"0126(5)";"Penanaman buah untuk minyak (oleaginus)";"";"(5) Tidak termasuk: penanaman kacang soya, kacang tanah dan bijian lain untuk minyak lihat 0111"
"";"A";"01261";"Penanaman kelapa sawit (estet)";"01261";"_"
