1;2;3;4
135;"112133";"Penolong Pengurus";"Assistant Manager"
136;"112134";"Penolong Ketua Pegawai Operasi";"Assistant Chief Operating Officer"
137;"112135";"Pengarah Teknikal";"Technical Director"
139;"1211";"PENGURUS KEWANGAN";"FINANCE MANAGERS"
140;"121101";"Ketua Pegawai Kewangan";"Chief Financial Officer (CFO)"
141;"121102";"Pengurus Kewangan";"Finance Manager"
142;"121103";"Pengurus Akaun";"Account Manager"
143;"121104";"Pengurus Belanjawan";"Budget Manager"
144;"121105";"Pengurus Audit";"Audit Manager"
145;"121106";"Pengurus Audit dan Pengurusan Risiko";"Audit and Risk Management Manager"
146;"121107";"Pengurus Kredit";"Credit Manager"
147;"121108";"Pengurus Insurans";"Insurance Manager"
148;"121109";"Pengurus Dana";"Fund Manager"
149;"121110";"Pengurus Perbendaharaan";"Treasury Manager"
150;"121111";"Pengurus Kewangan dan Institusi";"Financial and Institution Manager"
151;"121112";"Pengurus Perbelanjaan";"Expenditure Manager"
152;"121113";"Pengurus Pemantauan Transaksi";"Transaction Monitoring Manager"
153;"121114";"Pengurus Cukai";"Tax Manager"
154;"121115";"Pengurus Tuntutan";"Claim Manager"
155;"121116";"Pengarah Kewangan";"Finance Director"
156;"121117";"Ketua Pengawal Kewangan";"Chief Financial Controller"
157;"121118";"Pengurus Teknikal (Perakaunan)";"Technical Manager (Accounting)"
158;"121119";"Pengurus Risiko";"Risk Manager"
159;"121120";"Ketua Perolehan";"Head of Procurement"
160;"121121";"Pengurus Perolehan";"Procurement Manager"
161;"121122";"Pengurus Pemodelan Risiko";"Risk Modelling Manager"
162;"121123";"Pengurus Penilaian Aktuari";"Actuarial Valuation Manager"
163;"121124";"Pengurus Pembidaan";"Bidding Manager"
164;"121125";"Pengurus Audit Tenaga";"Energy Audit Manager"
165;"121126";"Penolong Pengurus Audit Tenaga";"Energy Audit Assistant Manager"
166;"121127";"Pengurus Harga Pindahan";"Transfer Pricing Manager"
167;"121128";"
Ketua Pengurusan Penajajaminan dan Portfolio";"Head of Underwriting dan Portfolio Management"
168;"121129";"Ketua Tuntutan";"Head of Claims"
170;"1212";"PENGURUS SUMBER MANUSIA";"HUMAN RESOURCE MANAGERS"
171;"121201";"Ketua Pegawai Sumber Manusia";"Chief Human Resources Officer"
172;"121202";"Pengurus Sumber Manusia";"Human Resource Manager"
173;"121203";"Pengurus Latihan";"Training Manager"
174;"121204";"Pengurus Perhubungan Perindustrian";"Industrial Relations Manager"
175;"121205";"Pengurus Kesihatan dan Keselamatan Pekerjaan";"Occupational Safety and Health Manager"
176;"121206";"Pengurus Personel";"Personnel Manager"
177;"121207";"Pengurus Perekrutan";"Recruitment Manager"
178;"121208";"Pengurus Keselamatan Pekerjaan";"Occupational Safety Manager"
179;"121209";"Pengurus Pembangunan Pembelajaran dan Organisasi";"Learning and Organization Development Manager"
180;"121210";"Pengurus Pampasan dan Faedah";"Compensation and Benefits Manager"
181;"121211";"Pengurus Bakat dan Prestasi Organisasi";"Talent and Organization Performance Manager"
182;"121212";"Pengurus Latihan, Industri Halal";"Training Manager, Halal Industry"
183;"121213";"Pengurus Kesihatan, Keselamatan, Alam Sekitar & Kualiti";"Health, Safety, Environment & Quality Manager"
185;"1213";"PENGURUS DASAR DAN PERANCANGAN";"POLICY AND PLANNING MANAGERS"
186;"121301";"Pengurus Dasar dan Perancangan";"Policy and Planning Manager"
187;"121302";"Pengurus Perancangan Strategik";"Strategic Planning Manager"
188;"121303";"Pengurus Perancangan Korporat";"Corporate Planning Manager"
189;"121304";"Pengurus Dasar dan Penyelidikan";"Policy and Research Manager"
190;"121305";"Pengurus Perancangan Projek";"Project Planning Manager"
191;"121306";"Ketua Projek";"Project Leader"
192;"121307";"Pengurus Program";"Programme Manager"
193;"121308";"Pengurus Hal Ehwal Pengaturan";"Regulatory Affairs Manager"
194;"121309";"Pengurus Perancangan";"Planning Manager"
196;"1214";"PENGURUS PERKHIDMATAN PERNIAGAAN";"BUSINESS SERVICES MANAGERS"
197;"121401";"Ketua Pegawai Pematuhan";"Chief Compliance Officer"
198;"121402";"Pengurus Pengeluaran";"Production Manager"
199;"121403";"Pengurus Pengeluaran dan Operasi Perniagaan";"Production and Business Operation Manager"
200;"121404";"Pengurus Perkhidmatan Pembangunan Perniagaan";"Business Services Development Manager"
201;"121405";"Perancang Pengeluaran";"Production Planner"
202;"121406";"Pengawal Pengeluaran";"Production Controller"
203;"121407";"Pengurus Pembangunan Perniagaan";"Business Development Manager"
204;"121408";"Pengurus Pematuhan";"Compliance Manager"
205;"121409";"Pengurus Fesyen dan Pakaian";"Fashion and Garment Manager"
206;"121410";"Pengurus Pematuhan Halal";"Halal Compliance Manager"
207;"121411";"Pengurus Rantaian Bekalan";"Supply Chain Manager"
208;"121412";"Pengurus Pembangunan Perniagaan dan Produk";"Business and Product Development Manager"
209;"121413";"Pengurus Kemampanan";"Sustainability Manager"
210;"121414";"Pengurus Projek";"Project Manager"
211;"121415";"Penolong Pengurus Projek";"Assistant Project Manager"
212;"121416";"Pengurus Teknologi";"Technology Manager"
214;"1215";"PENGURUS PENTADBIRAN";"ADMINISTRATIVE MANAGERS"
215;"121501";"Pengurus Pentadbiran";"Administrative Manager"
216;"121502";"Pengurus Perkhidmatan Pentadbiran";"Administrative Services Manager"
217;"121503";"Ketua Pembangunan Aset";"Asset Development Lead"
218;"121504";"Pengurus Prasarana";"Infrastructure Manager"
219;"121505";"Pengurus Perkhidmatan Korporat";"Corporate Services Manager"
220;"121506";"Ketua Komunikasi Korporat";"Head of Corporate Communications"
222;"1216";"PENGURUS KUALITI";"QUALITY MANAGERS"
223;"121601";"Pengurus Kawalan Kualiti";"Quality Control Manager"
224;"121602";"Pengurus Jaminan Kualiti";"Quality Assurance Manager"
225;"121603";"Pengurus Jaminan Kualiti, Pengilangan Makanan Halal";"Quality Assurance Manager, Halal Food Manufacturing"
226;"121604";"Pengurus Jaminan Kualiti, Pemprosesan Daging Halal";"Quality Assurance Manager, Halal Meat Processing"
228;"1219";"PENGURUS PERKHIDMATAN PERNIAGAAN DAN PENTADBIRAN
YANG TIDAK DIKELASKAN DI MANA-MANA";"BUSINESS SERVICES AND ADMINISTRATION MANAGERS NOT ELSEWHERE CLASSIFIED"
230;"1221";"PENGURUS JUALAN DAN PEMASARAN";"SALES AND MARKETING MANAGERS"
231;"122101";"Ketua Pegawai Pemasaran";"Chief Marketing Officer"
232;"122102";"Pengurus Jualan";"Sales Manager"
233;"122103";"Pengurus Jualan dan Pemasaran";"Sales and Marketing Manager"
234;"122104";"Pengurus Pemasaran";"Marketing Manager"
235;"122105";"Pengurus Promosi Jualan";"Sales Promotion Manager"
236;"122106";"Pengurus Penyelidikan Pasaran";"Market Research Manager"
237;"122107";"Pengurus Produk";"Product Manager"
238;"122108";"Pengurus Jenama";"Brand Manager"
239;"122109";"Pengurus Pasar Raya";"Supermarket Manager"
240;"122110";"Pengurus Pusat Beli-Belah";"Shopping Centre Manager"
241;"122111";"Pengurus Runcit";"Outlet Manager"
242;"122112";"Pengurus Rakan Kongsi Saluran";"Channel Partner Manager"
243;"122113";"Pengarah Jualan";"Sales Director"
244;"122114";"Pengurus Cawangan";"Branch Manager"
245;"122115";"Penolong Pengurus Cawangan";"Assistant Branch Manager"
246;"122116";"Pengurus Pemasaran Digital";"Digital Marketing Manager"
247;"122117";"Penolong Pengurus Pemasaran Digital";"Digital Marketing Assistant Manager"
249;"1222";"PENGURUS PENGIKLANAN DAN PERHUBUNGAN AWAM";"ADVERTISING AND PUBLIC RELATIONS MANAGERS"
250;"122201";"Pengurus Pengiklanan";"Advertising Manager"
251;"122202";"Pengurus Hal Ehwal Am";"General Affairs Manager"
252;"122203";"Pengurus Komunikasi";"Communications Manager"
253;"122204";"Pengurus Perhubungan Awam";"Public Relations Manager"
254;"122205";"Pengurus Pameran";"Display Manager"
255;"122206";"Pengurus Khidmat Pelanggan";"Customer Service Manager"
256;"122207";"Pengurus Pusat Perhubungan";"Contact Centre Manager"
257;"122208";"Pengurus Pusat Panggilan";"Call Centre Manager"
258;"122209";"Pengurus Operasi Pusat Panggilan";"Call Centre Operation Manager"
259;"122210";"Pengurus Ketua Pusat Panggilan";"Contact Centre Team Leader Manager"
260;"122211";"Ketua Pasukan";"Team Leader"
261;"122212";"Pengurus Perhubungan Pelanggan";"Customer Relationship Manager"
262;"122213";"Pengurus Media Sosial";"Social Media Manager"
263;"122214";"Pengurus Pelancongan";"Tour Manager"
264;"122215";"Pengurus Acara";"Event Manager"
266;"1223";"PENGURUS PENYELIDIKAN DAN PEMBANGUNAN";"RESEARCH AND DEVELOPMENT MANAGERS"
267;"122301";"Pengurus Penyelidikan dan Pembangunan";"Research and Development Manager"
268;"122302";"Pengurus Pembangunan Produk";"Product Development Manager"
269;"122303";"Pengurus Penyelidikan";"Research Manager"
270;"122304";"Pengurus Penyelidikan dan Pembangunan, Pengilangan Makanan Halal";"Research and Development Manager, Halal Food Manufacturing"
271;"122305";"Pengurus Penyelidikan dan Pembangunan, Industri Halal";"Research and Development Manager, Halal Industry"
273;"1311";"PENGURUS PENGELUARAN PERTANIAN, PERHUTANAN, DAN PENTERNAKAN";"AGRICULTURAL,  FORESTRY AND LIVESTOCK PRODUCTION MANAGERS"
274;"131101";"Pengurus Taman/Ladang Gred G41";"Park/Estate Manager Grade G41"
275;"131102";"Pengurus Perhutanan";"Forestry Manager"
276;"131103";"Pengurus Ladang";"Plantation Manager"
277;"131104";"Pengurus Hortikultur";"Horticulture Manager"
278;"131105";"Pengurus Pengeluaran dan Operasi Pertanian";"Production and Operation Manager, Agricultural"
279;"131106";"Pengurus Pertanian";"Agricultural Manager"
280;"131107";"Pengurus Pengeluaran dan Operasi Penternakan";"Production and Operation Manager, Livestock"
281;"131108";"Pengurus Penternakan";"Livestock Manager"
282;"131109";"Pengurus Estet";"Estate Manager"
283;"131110";"Pengurus Pengeluaran dan Operasi Perhutanan";"Production and Operation Manager, Forestry"
284;"131111";"Pengurus Veterinar";"Veterinary Manager"
285;"131112";"Pengurus, Rumah Sembelihan Halal";"Manager, Halal Slaughterhouse"
286;"131113";"Pengurus, Pengeluaran Ternakan Halal";"Manager, Halal Livestock Production"
287;"131114";"Pengurus Padang, Rumput";"Field Manager, Grass"
288;"131115";"Pengurus Penetasan";"Hatchery Manager"
289;"131116";"Pengurus Sains Semulajadi";"Natural Science Manager"
291;"1312";"PENGURUS PENGELUARAN AKUAKULTUR DAN PERIKANAN";"AQUACULTURE AND FISHERIES PRODUCTION MANAGERS"
292;"131201";"Pengurus Perikanan";"Fishery Manager"
293;"131202";"Pengurus Pengeluaran dan Operasi Perikanan";"Production and Operation Manager, Fishery"
294;"131203";"Pengurus Operasi Akuakultur";"Aquaculture Production Manager"
295;"131204";"Pengurus Operasi Penangkapan Ikan";"Fishing Operations Manager"
296;"131205";"Pengurus Pukat Tunda";"Trawler Manager"
298;"1321";"PENGURUS PEMBUATAN";"MANUFACTURING MANAGERS"
299;"132101";"Pengurus Pembuatan";"Manufacturing Manager"
300;"132102";"Pengurus Pengeluaran dan Operasi Pembuatan";"Production and Operation Manager, Manufacturing"
301;"132103";"Pengurus Kilang";"Factory Manager"
302;"132104";"Pengurus Elektrik";"Electrical Manager"
303;"132105";"Pengurus Tenaga";"Energy Manager"
304;"132106";"Pengilang";"Manufacturer"
305;"132107";"Pengurus Pengeluaran, Pemprosesan Makanan";"Production Manager, Food Processing"
306;"132108";"Pengurus Pembuatan Badan Kapal";"Ship Hull Manager"
307;"132109";"Pengurus Mekanikal";"Mechanical Manager"
308;"132110";"Pengurus Kimpalan";"Welding Manager"
309;"132111";"Pengurus Kilang Minyak";"Oil Mill Manager"
310;"132112";"Pengurus, Pengilangan Makanan Halal";"Manager, Halal Food Manufacturing"
311;"132113";"Pengurus Pengeluaran, Pemprosesan Daging Halal";"Production Manager, Halal Meat Processing"
312;"132114";"Pengurus Penyelenggaraan";"Maintenance Manager"
313;"132115";"Pengurus Loji Penjanaan Tenaga Biomas (BEGP)";"Biomass Energy Generation Plant (BEGP) Manager"
314;"132116";"Penolong Pengurus Loji Penjanaan Tenaga Biomas (BEGP)";"Biomass Energy Generation Plant (BEGP) Assistant Manager"
315;"132117";"Pengurus Operasi Loji Tapak Pelupusan Gas";"Landfill Gas Plant Operation Manager"
316;"132118";"Pengurus Loji Gas Tapak Pelupusan";"Landfill Gas Plant Manager"
317;"132119";"Pengurus Operasi Loji Anaerobic Digester Biogas";"Anaerobic Digester Biogas Plant Operation Manager"
318;"132120";"Pengurus Loji Anaerobic Digester Biogas";"Anaerobic Digester Biogas Plant Management"
319;"132121";"Pengurus Photovoltaic";"Photovoltaic Manager"
320;"132122";"Pengeluar Tenaga Gelombang";"Wave Energy Producer"
321;"132123";"Perancang Penggunaan Bahan";"Material Utilization Planner"
322;"132124";"Perancang Penggunaan Mesin dan Peralatan";"Machine and Equipment Utilization Planner"
323;"132125";"Pengurus Operasi Pembuatan";"Manufacturing Operations Manager"
324;"132126";"Pengurus Loji Penjanaan Kuasa";"Power Generation Plant Manager"
325;"132127";"Pengurus Stesen Kuasa";"Power Station Manager"
326;"132128";"Pengurus Pengeluaran Kimia";"Production Manager, Chemicals"
327;"132129";"Pengurus Pengeluaran Bekalan Gas";"Production Manager, Gas Supply"
328;"132130";"Pengurus Pengeluaran Penapisan Minyak";"Production Manager, Oil Refinery"
329;"132131";"Pengurus Pengeluaran Penapisan Petroleum";"Production Manager, Petroleum Refinery"
330;"132132";"Pengurus Pengeluaran Penjanaan Kuasa";"Production Manager, Power Generation"
331;"132133";"Pengurus Reka bentuk";"Design Manager"
332;"132134";"Pengurus Bahan Api Biologi";"Biofuel Plant Manager"
333;"132135";"Ketua Pengilangan";"Head of Manufacturing"
334;"132136";"Ketua Rawatan Panas (Logam)";"Head of Heat Treatment (Metal)"
336;"1322";"PENGURUS PERLOMBONGAN";"MINING MANAGERS"
337;"132201";"Pengurus Pengeluaran dan Operasi, Perlombongan";"Production and Operation Manager, Mine"
338;"132202";"Pengurus Pengeluaran dan Operasi, Kuari";"Production and Operation Manager, Quarry"
339;"132203";"Pengurus Pengeluaran dan Operasi, Pengekstrakan Minyak dan Gas";"Production and Operation Manager, Oil and Gas Extraction"
340;"132204";"Pengurus Pengekstrakan Minyak dan Gas";"Oil and Gas Extraction Manager"
341;"132205";"Pengurus Perlombongan";"Mining Manager"
342;"132206";"Pengurus Kuari";"Quarry Manager"
343;"132207";"Pengurus Pemasangan Luar Pesisir";"Offshore Installation Manager"
344;"132208";"Pengurus Pengeluaran Bahan Api Teknologi Hijau";"Green Technology Fuel Production Manager"
345;"132209";"Pengawal Pengeluaran Perlombongan";"Production Controller, Mining"
346;"132210";"Pengurus Kaji Logam";"Manager, Metallurgy"
347;"132211";"Pengurus Pemasangan Luar Pesisir: Minyak atau Gas";"Manager, Offshore Installation: Oil or Gas"
348;"132212";"Pengurus Loji Perlombongan";"Plant Manager, Mining"
349;"132213";"Pengurus Perkhidmatan Lapangan Lombong";"Field Service Mine Manager"
351;"1323";"PENGURUS PEMBINAAN";"CONSTRUCTION MANAGERS"
352;"132301";"Pengurus Pembinaan";"Construction Manager"
353;"132302";"Pengurus Pengeluaran dan Operasi, Pembinaan";"Production and Operation Manager, Construction"
354;"132303";"Pengurus Kontrak Pembinaan";"Construction Contract Manager"
355;"132304";"Pengurus Operasi Pembinaan";"Construction Operation Manager"
356;"132305";"Pengurus Projek Pembinaan";"Construction Project Manager"
357;"132306";"Pengurus Tapak Pembinaan";"Construction Site Manager"
358;"132307";"Pengurus Tugas Pembinaan";"Construction Duty Manager"
359;"132308";"Pembangun Projek Pembinaan";"Construction Project Builder"
360;"132309";"Pengurus Binaan Awam dan Struktur";"Structure and Construction Manager"
361;"132310";"Pengurus Senibina dan Bangunan";"Building and Architecture Manager"
362;"132311";"Pengurus Ukur Tanah";"Land Surveyor Manager"
363;"132312";"Pengarah Kejuruteraan Pembinaan";"Construction Engineering Director"
364;"132313";"Pengurus Kejuruteraan Pembinaan";"Construction Engineering Manager"
365;"132314";"Pengurus Penyelenggaraan Kemudahan Bangunan Hijau";"Green Building Facilities Maintenance Manager"
366;"132315";"Penolong Pengurus Penyelenggaraan Kemudahan Bangunan Hijau";"Green Building Facilities Maintenance Assistant Manager"
367;"132316";"Pengurus Perobohan Bangunan";"Building Demolition Manager"
368;"132317";"Penolong Pengurus Perobohan Bangunan";"Building Demolition Assistant Manager"
369;"132318";"Pembangun Bangunan Hijau";"Green Builder"
370;"132319";"Pengurus Ukur Bahan";"Quantity Surveyor Manager"
371;"132320";"Kontraktor Pembinaan";"Contractor Construction"
372;"132321";"Ketua Arkitek";"Head of Architect"
374;"1324";"PENGURUS BEKALAN, PENGAGIHAN, DAN YANG BERKAITAN";"SUPPLY, DISTRIBUTION AND RELATED MANAGERS"
375;"132401";"Ketua Stesen Kereta api";"Railway Station Master"
376;"132402";"Pengurus Pengangkutan";"Transport Manager"
377;"132403";"Pengurus Bekalan";"Supply Manager"
378;"132404";"Pengurus Gudang";"Warehouse Manager"
379;"132405";"Pengurus Logistik";"Logistics Manager"
380;"132406";"Pengurus Pembelian";"Purchasing Manager"
381;"132407";"Pengurus Pengeluaran dan Operasi,Pengangkutan";"Production and Operation Manager, Transport"
382;"132408";"Pengurus Pengeluaran dan Operasi, Pengangkutan (Saluran Paip)";"Production and Operation Manager, Transport (Pipeline)"
383;"132409";"Pengurus Pengeluaran dan Operasi, Pengangkutan (Trafik Angkut Barang)";"Production and Operation Manager, Transport (Freight Traffic)"
384;"132410";"Pengurus Pengeluaran dan Operasi, Pengangkutan (Trafik Penumpang)";"Production and Operation Manager, Transport (Passenger Traffic)"
385;"132411";"Pengurus Pengagihan";"Distribution Manager"
386;"132412";"Pengurus Pengeluaran dan Operasi, Penyimpanan";"Production and Operation Manager, Storage"
387;"132413";"Pengurus Penyimpanan";"Storage Manager"
388;"132414";"Pengurus Perkapalan";"Shipping Manager"
389;"132415";"Pengurus Sistem Saluran Paip";"Piping System Manager"
390;"132416";"Pengurus Operasi Logistik Halal";"Manager, Halal Logistics Operation"
391;"132417";"Pengurus Kawalan Bahan";"Material Control Manager"
392;"132418";"Penolong Pengurus Kawalan Bahan";"Material Control Assistant Manager"
393;"132419";"Pengurus Penyelenggaraan Kereta Elektrik";"Electric Car Maintenance Manager"
394;"132420";"Pengurus Penyelenggaraan Kenderaan Gas Asli";"Natural Gas Vehicle Maintenance Manager"
395;"132421";"Penolong Pengurus Penyelenggaraan Kenderaan Gas Asli";"Natural Gas Vehicle Maintenance Assistant Manager"
396;"132422";"Pengurus Penyelenggaraan Kenderaan Sel Bahan Api";"Fuel Cell Vehicle Maintenance Manager"
397;"132423";"Pengurus Pembelian, Pemprosesan Daging Halal";"Purchasing Manager, Halal Meat Processing"
398;"132424";"Pengurus Kenderan Udara Tanpa Pemandu (UAV)";"Unmanned Aerial Vehicle Manager (UAV)"
