;01004039;01-004-039;JOHOR;1
;01004040;01-004-040;JOHOR;1
;01004041;01-004-041;JOHOR;1
;01004042;01-004-042;JOHOR;1
;01004043;01-004-043;JOHOR;1
;01004044;01-004-044;JOHOR;1
;01004045;01-004-045;JOHOR;1
;01004046;01-004-046;JOHOR;1
;01004047;01-004-047;JOHOR;1
;01004048;01-004-048;JOHOR;1
;01004049;01-004-049;JOHOR;1
;01004050;01-004-050;JOHOR;1
;01004051;01-004-051;JOHOR;1
;01004052;01-004-052;JOHOR;1
;01004053;01-004-053;JOHOR;1
;01004054;01-004-054;JOHOR;1
;01004055;01-004-055;JOHOR;1
;01004056;01-004-056;JOHOR;1
;01004057;01-004-057;JOHOR;1
;01004058;01-004-058;JOHOR;1
;01004059;01-004-059;JOHOR;1
;01004060;01-004-060;JOHOR;1
;01004061;01-004-061;JOHOR;1
;01004062;01-004-062;JOHOR;1
;01004063;01-004-063;JOHOR;1
;01004064;01-004-064;JOHOR;1
;01004065;01-004-065;JOHOR;1
;01004066;01-004-066;JOHOR;1
;01004067;01-004-067;JOHOR;1
;01004068;01-004-068;JOHOR;1
;01004069;01-004-069;JOHOR;1
;01004070;01-004-070;JOHOR;1
;01004071;01-004-071;JOHOR;1
;01004072;01-004-072;JOHOR;1
;01004073;01-004-073;JOHOR;1
;01004074;01-004-074;JOHOR;1
;01004075;01-004-075;JOHOR;1
;01004076;01-004-076;JOHOR;1
;01004077;01-004-077;JOHOR;1
;01004078;01-004-078;JOHOR;1
;01004079;01-004-079;JOHOR;1
;01004080;01-004-080;JOHOR;1
;01004081;01-004-081;JOHOR;1
;01004082;01-004-082;JOHOR;1
;01004083;01-004-083;JOHOR;1
;01004084;01-004-084;JOHOR;1
;01004085;01-004-085;JOHOR;1
;01004086;01-004-086;JOHOR;1
;01004087;01-004-087;JOHOR;1
;01004088;01-004-088;JOHOR;1
;01004089;01-004-089;JOHOR;1
;01004090;01-004-090;JOHOR;1
;01004091;01-004-091;JOHOR;1
;01004092;01-004-092;JOHOR;1
;01004093;01-004-093;JOHOR;1
;01004094;01-004-094;JOHOR;1
;01004095;01-004-095;JOHOR;1
;01004096;01-004-096;JOHOR;1
;01004097;01-004-097;JOHOR;1
;01004098;01-004-098;JOHOR;1
;01004099;01-004-099;JOHOR;1
;01004100;01-004-100;JOHOR;1
;01004101;01-004-101;JOHOR;1
;01004102;01-004-102;JOHOR;1
;01004103;01-004-103;JOHOR;1
;01004104;01-004-104;JOHOR;1
;01004105;01-004-105;JOHOR;1
;01005001;01-005-001;JOHOR;2
;01005002;01-005-002;JOHOR;2
;01005003;01-005-003;JOHOR;2
;01005004;01-005-004;JOHOR;2
;01005005;01-005-005;JOHOR;2
;01005006;01-005-006;JOHOR;2
;01005007;01-005-007;JOHOR;2
;01005008;01-005-008;JOHOR;2
;01005009;01-005-009;JOHOR;2
;01005010;01-005-010;JOHOR;2
;01005011;01-005-011;JOHOR;2
;01005012;01-005-012;JOHOR;2
;01005013;01-005-013;JOHOR;2
;01005014;01-005-014;JOHOR;2
;01005015;01-005-015;JOHOR;2
;01005016;01-005-016;JOHOR;2
;01005017;01-005-017;JOHOR;2
;01005018;01-005-018;JOHOR;2
;01005019;01-005-019;JOHOR;2
;01005020;01-005-020;JOHOR;2
;01005021;01-005-021;JOHOR;2
;01005022;01-005-022;JOHOR;2
;01005023;01-005-023;JOHOR;2
;01005024;01-005-024;JOHOR;2
;01005025;01-005-025;JOHOR;2
;01005026;01-005-026;JOHOR;2
;01005027;01-005-027;JOHOR;2
;01005028;01-005-028;JOHOR;2
;01005029;01-005-029;JOHOR;2
;01005030;01-005-030;JOHOR;2
;01005031;01-005-031;JOHOR;2
;01005032;01-005-032;JOHOR;2
;01005033;01-005-033;JOHOR;2
;01005034;01-005-034;JOHOR;2
;01005035;01-005-035;JOHOR;2
;01005036;01-005-036;JOHOR;2
;01005037;01-005-037;JOHOR;2
;01005038;01-005-038;JOHOR;2
;01005039;01-005-039;JOHOR;2
;01005040;01-005-040;JOHOR;2
;01005041;01-005-041;JOHOR;2
;01005042;01-005-042;JOHOR;2
;01005043;01-005-043;JOHOR;2
;01005044;01-005-044;JOHOR;2
;01005045;01-005-045;JOHOR;2
;01005046;01-005-046;JOHOR;2
;01005047;01-005-047;JOHOR;2
;01005048;01-005-048;JOHOR;2
;01005049;01-005-049;JOHOR;2
;01005050;01-005-050;JOHOR;2
;01005051;01-005-051;JOHOR;2
;01005052;01-005-052;JOHOR;2
;01005053;01-005-053;JOHOR;2
;01005054;01-005-054;JOHOR;2
;01005055;01-005-055;JOHOR;2
;01005056;01-005-056;JOHOR;2
;01005057;01-005-057;JOHOR;2
;01005058;01-005-058;JOHOR;2
;01005059;01-005-059;JOHOR;2
;01005060;01-005-060;JOHOR;2
;01005061;01-005-061;JOHOR;2
;01005062;01-005-062;JOHOR;2
;01005063;01-005-063;JOHOR;2
;01005064;01-005-064;JOHOR;2
;01005065;01-005-065;JOHOR;2
;01005066;01-005-066;JOHOR;2
;01005067;01-005-067;JOHOR;2
;01005068;01-005-068;JOHOR;2
;01005069;01-005-069;JOHOR;2
;01005070;01-005-070;JOHOR;2
;01005071;01-005-071;JOHOR;2
;01005072;01-005-072;JOHOR;2
