"";"PEMBUATAN";"PEMBUATAN";"205";"10800";"Manufacture of prepared animal feeds";"10800";"Pembuatan makanan haiwan tersedia"
"";"PEMBUATAN";"PEMBUATAN";"205";"11020";"Manufacture of wines";"11020";"Pembuatan wain"
"";"PEMBUATAN";"PEMBUATAN";"205";"11051";"Manufacture of soft drinks";"11041";"Pembuatan minuman ringan"
"";"PEMBUATAN";"PEMBUATAN";"205";"11052";"Production of natural mineral water and other bottled water ";"11042";"Pengeluaran air mineral semulajadi dan minuman lain yang dibotolkan"
"";"PEMBUATAN";"PEMBUATAN";"205";"12000";"Manufacture of tobacco products ";"12000";"Pembuatan produk tembakau"
"";"PEMBUATAN";"PEMBUATAN";"205";"13110";"Preparation and spinning of textile fibres";"13110";"Penyediaan dan pemintalan gentian tekstil"
"";"PEMBUATAN";"PEMBUATAN";"205";"13120";"Weaving of textiles";"13120";"Penenunan tekstil"
"";"PEMBUATAN";"PEMBUATAN";"205";"13131";"Batik making";"13131";"Membuat batik"
"";"PEMBUATAN";"PEMBUATAN";"205";"13132";"Dyeing, bleaching, printing and finishing of yarns and fabrics";"13132";"Pewarnaan, pelunturan, percetakan dan penyiapan akhir benang dan fabrik"
"";"PEMBUATAN";"PEMBUATAN";"205";"13910";"Manufacture of knitted and crocheted fabrics";"13910";"Pembuatan fabrik dikait dan dikrusye"
"";"PEMBUATAN";"PEMBUATAN";"205";"13921";"Manufacture of made-up articles of any textile materials, including of knitted or crocheted fabrics";"13921";"Pembuatan artikel tersedia bagi bahan tekstil seumpamanya, termasuk fabrik dikait atau dikrusye"
"";"PEMBUATAN";"PEMBUATAN";"205";"13922";"Manufacture of made-up furnishing articles";"13922";"Pembuatan artikel perhiasan tersedia"
"";"PEMBUATAN";"PEMBUATAN";"205";"13940";"Manufacture of cordage, rope, twine and netting";"13940";"Pembuatan bagi tali-temali, tali, tali pintal dan jaring"
"";"PEMBUATAN";"PEMBUATAN";"205";"13990";"Manufacture of other textiles n.e.c.";"13990";"Pembuatan tekstil lain t.t.t.l."
"";"PEMBUATAN";"PEMBUATAN";"205";"14101";"Manufacture of specific wearing apparel";"14101";"Pembuatan pakaian spesifik"
"";"PEMBUATAN";"PEMBUATAN";"205";"14102";"Manufacture of clothings";"14102";"Pembuatan pakaian"
"";"PEMBUATAN";"PEMBUATAN";"205";"14103";"Custom tailoring ";"14103";"Jahitan pakaian tempahan"
"";"PEMBUATAN";"PEMBUATAN";"205";"14109";"Manufacture of other clothing accessories";"14109";"Pembuatan aksesori pakaian lain"
"";"PEMBUATAN";"PEMBUATAN";"205";"15120";"Manufacture of luggage, handbags and the like, saddlery and harness of any material";"15120";"Pembuatan bagasi, beg tangan dan seumpamanya, pelana dan abah-abah"
"";"PEMBUATAN";"PEMBUATAN";"205";"15209";"Manufacture of other footwear n.e.c.";"15209";"Pembuatan kasut lain t.t.t.l"
"";"PEMBUATAN";"PEMBUATAN";"205";"16100";"Sawmilling and planing of wood";"16100";"Pengilangan dan pengetaman kayu"
"";"PEMBUATAN";"PEMBUATAN";"205";"16211";"Manufacture of veneer sheets and plywood";"16211";"Pembuatan kepingan venier dan papan lapis"
"";"PEMBUATAN";"PEMBUATAN";"205";"16212";"Manufacture of particle board and fibreboard";"16212";"Pembuatan papan partikel dan papan gentian"
"";"PEMBUATAN";"PEMBUATAN";"205";"16221";"Manufacture of builders' carpentry";"16221";"Pertukangan kayu untuk jurubina"
"";"PEMBUATAN";"PEMBUATAN";"205";"16222";"Manufacture of joinery wood products";"16222";"Pembuatan produk tanggam kayu"
"";"PEMBUATAN";"PEMBUATAN";"205";"16230";"Manufacture of wooden containers";"16230";"Pembuatan bekas kayu"
"";"PEMBUATAN";"PEMBUATAN";"205";"16291";"Manufacture of wood charcoal";"16291";"Pembuatan kayu arang"
"";"PEMBUATAN";"PEMBUATAN";"205";"16292";"Manufacture of other products of wood, cane, articles of cork, straw and plaiting materials ";"16292";"Pembuatan produk kayu lain| rotan, artikel gabus, jerami dan bahan jalinan"
"";"PEMBUATAN";"PEMBUATAN";"205";"17010";"Manufacture of pulp, paper and paperboard";"17010";"Pembuatan pulpa, kertas dan kertas tebal"
"";"PEMBUATAN";"PEMBUATAN";"205";"17020";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard";"17020";"Pembuatan kertas gelugur dan kertas tebal dan bekas daripada kertas dan kertas tebal"
"";"PEMBUATAN";"PEMBUATAN";"205";"17091";"Manufacture of envelopes and letter-card  ";"17091";"Pembuatan sampul surat dan kad surat"
