"";"lama-03218";"03218";"Operasi ladang ternakan cacing laut untuk makanan ikan"
"";"lama-03216";"03219";"Ternakan akuakultur laut lain t.t.t.l."
"";"lama-03219p";"03219";"Ternakan akuakultur laut lain t.t.t.l."
"";"lama-03221p";"03221";"Fish farming in freshwater"
"";"lama-03222";"03222";"Ternakan udang air tawar"
"";"lama-03223";"03223";"Pengkulturan krustasea, dwi-cangkerang, moluska dan haiwan akuatik lain di air tawar"
"";"lama-03224";"03224";"Operasi penetasan anak benih (air tawar)"
"";"lama-03225";"03225";"Penternakan katak"
"";"lama-03221p";"03226";"Ternakan ikan hiasan air tawar"
"";"lama-03229p";"03229";"Akuakultur air tawar lain t.t.t.l."
"";"lama-03114p";"03301";"Aktiviti atas vessel yang melibatkan pemprosesan dan pegawetan"
"";"lama-03229p";"03302";"Penyelenggaraan tempat dan peralatan akuakultur"
"";"lama-03129p";"03309";"Aktiviti sokongan perikanan dan akuakultur lain t.t.t.l."
"";"lama-03229p";"03309";"Aktiviti sokongan perikanan dan akuakultur lain t.t.t.l."
"";"lama-05100";"05100";"Perlombongan batu arang pepejal"
"";"lama-05200";"05200";"Perlombongan lignit (batu arang perang)"
"";"lama-06101";"06100";"Pengekstrakan petroleum mentah"
"";"lama-06102";"06100";"Pengekstrakan petroleum mentah"
"";"lama-06103";"06100";"Pengekstrakan petroleum mentah"
"";"lama-06104";"06100";"Pengekstrakan petroleum mentah"
"";"lama-06201";"06201";"Pengekstrakan gas asli"
"";"lama-06203";"06201";"Pengekstrakan gas asli"
"";"lama-06204";"06201";"Pengekstrakan gas asli"
"";"lama-06205";"06201";"Pengekstrakan gas asli"
"";"lama-06202";"06202";"Pengekstrakan kondensat"
"";"lama-07101";"07101";"Perlombongan bijih yang tinggi kandungan besi"
"";"lama-07102";"07102";"Pengekstrakan dan penggumpalan bijih besi"
"";"lama-07210";"07210";"Perlombongan bijih uranium dan torium"
"";"lama-07291";"07291";"Perlombongan bijih timah"
"";"lama-07292";"07292";"Perlombongan tembaga"
"";"lama-07293";"07293";"Perlombongan bauksit (aluminium)"
"";"lama-07294";"07294";"Pembilasan amang"
"";"lama-07298";"07294";"Pembilasan amang"
"";"lama-07295";"07295";"Perlombongan emas dan perak"
"";"lama-07296";"07295";"Perlombongan emas dan perak"
"";"lama-07299p";"07296";"Perlombongan unsur nadir bumi (REE)"
"";"lama-07297";"07299";"Perlombongan bijih logam bukan besi lain t.t.t.l."
"";"lama-07299p";"07299";"Perlombongan bijih logam bukan besi lain t.t.t.l."
"";"lama-08101";"08101";"Pengkuarian batu untuk industri batu dimensi"
"";"lama-08102";"08102";"Aktiviti mengekstrak dan memproses mineral bukan logam"
"";"lama-08103";"08102";"Aktiviti mengekstrak dan memproses mineral bukan logam"
"";"lama-08108p";"08103";"Perlombongan kaolin"
"";"lama-08104";"08104";"Perlombongan kapur dan dolomit yang tidak dirawat"
"";"lama-08105";"08105";"Pengekstrakan, pengorekan, pemecahan dan penghancuran pasir industri, pasir untuk pembinaan, batu dan kerikil"
"";"lama-08106";"08105";"Pengekstrakan, pengorekan, pemecahan dan penghancuran pasir industri, pasir untuk pembinaan, batu dan kerikil"
"";"lama-08107p";"08106";"Perlombongan pasir silika"
"";"lama-08108p";"08107";"Perlombongan tanah liat dan tanah liat refraktori"
"";"lama-08109";"08108";"Pengkuarian, penghancuran dan pemecahan granit"
"";"lama-08107p";"08109";"Pengkuarian batu, pasir dan tanah liat t.t.t.l."
"";"lama-08999p";"08109";"Pengkuarian batu, pasir dan tanah liat t.t.t.l."
"";"lama-08911";"08911";"Perlombongan fosfat semulajadi"
"";"lama-08912";"08912";"Perlombongan garam kalium (potassium) semulajadi"
"";"lama-08913";"08913";"Perlombongan sulfur semulajadi"
"";"lama-08914";"08914";"Pengekstrakan dan penyediaan pirit dan pirotit, kecuali penyalaian"
"";"lama-08915";"08915";"Perlombongan barium sulfat semulajadi dan karbonat (baryte dan witerit)"
"";"lama-08916";"08916";"Perlombongan borat semula jadi, magnesium sulfat semulajadi (kieserit)"
"";"lama-08917";"08917";"Perlombongan earth colours, fluorspar dan mineral lain yang tinggi kandungan mineral sebagai sumber kimia"
"";"lama-08918";"08918";"Perlombongan guano"
"";"lama-08921";"08920";"Pengekstrakan tanah gambut"
"";"lama-08922";"08920";"Pengekstrakan tanah gambut"
"";"lama-08923";"08920";"Pengekstrakan tanah gambut"
"";"lama-08931";"08931";"Pengekstrakan garam dari bawah tanah"
"";"lama-08932";"08932";"Pengeluaran garam melalui penyejatan air laut atau air masin lain"
"";"lama-08933";"08933";"Penghancuran, penulenan dan penapisan garam oleh pengeluar"
"";"lama-08991";"08991";"Perlombongan dan pengkuarian bahan pelelas (bahan kesat)"
"";"lama-08992";"08992";"Perlombongan dan pengkuarian asbestos"
"";"lama-08993";"08993";"Perlombongan dan pengkuarian fosil bersilika"
"";"lama-08994";"08994";"Perlombongan dan pengkuarian grafit semulajadi"
"";"lama-08995";"08995";"Perlombongan dan pengkuarian steatite (talkum)"
"";"lama-08996";"08996";"Perlombongan dan pengkuarian batu permata"
"";"lama-08999";"08999";"Perlombongan dan pengkuarian lain t.t.t.l."
"";"lama-09101";"09101";"Aktiviti pengekstrakan petroleum dan gas yang dibekalkan atas dasar kontrak atau bayaran"
"";"lama-09102";"09102";"Perkhidmatan memadam kebakaran di lapangan minyak dan gas"
"";"lama-09900";"09900";"Aktiviti sokongan untuk perlombongan dan pengkuarian lain"
"";"lama-10101";"10101";"Pemprosesan dan pengawetan daging dan pengeluaran produk daging"
"";"lama-10102";"10102";"Pemprosesan dan pengawetan ayam itik dan produk ayam itik"
"";"lama-10103";"10103";"Pengeluaran belulang dan kulit yang berasal dari rumah penyembelihan"
"";"lama-10104";"10104";"Operasi rumah penyembelihan yang terlibat dalam pembunuhan, pembersihan atau pembungkusan daging"
"";"lama-10109";"10109";"Pemprosesan dan pengawetan daging t.t.t.l."
"";"lama-10201";"10201";"Pengetinan ikan, krustasea dan moluska"
"";"lama-10202";"10202";"Pemprosesan, penggaraman dan pengawetan ikan, krustasea dan moluska"
"";"lama-10203";"10203";"Pengeluaran makanan berasaskan ikan untuk manusia atau haiwan"
"";"lama-10204";"10204";"Pengeluaran keropok"
"";"lama-10205";"10205";"Pemprosesan rumpai laut"
"";"lama-10301";"10301";"Pembuatan produk makanan buah-buahan dan sayur-sayuran"
"";"lama-10302";"10302";"Pembuatan jus buah-buahan dan sayur-sayuran"
"";"lama-10303";"10303";"Pengetinan nanas"
"";"lama-10304";"10304";"Pembuatan jem, marmalad dan sajian jeli"
"";"lama-10305";"10305";"Pembuatan jem, marmalad dan sajian jeli"
"";"lama-10306";"10306";"Pembuatan produk tauhu"
"";"lama-10401";"10401";"Pembuatan minyak sawit mentah"
"";"lama-10402";"10402";"Pembuatan minyak sawit bertapis"
"";"lama-10403";"10403";"Pembuatan minyak isirung sawit"
"";"lama-10404p";"10404";"Pembuatan minyak sayuran mentah dan bertapis"
"";"lama-10405";"10405";"Pembuatan minyak kelapa"
"";"lama-10406";"10406";"Pembuatan sebatian lemak masakan"
"";"lama-10407";"10407";"Pembuatan minyak dan lemak haiwan"
"";"lama-10501";"10501";"Pembuatan ais krim dan ais lain yang boleh dimakan"
"";"lama-10502";"10502";"Pembuatan susu pekat, tepung dan sejat"
"";"lama-10509";"10509";"Pembuatan produk tenusu t.t.t.l."
"";"lama-10611";"10611";"Pengilangan beras"
"";"lama-10612p";"10611";"Pengilangan beras"
"";"lama-10612p";"10612";"Pengilangan beras"
"";"lama-10613";"10612";"Pengilangan beras"
"";"lama-10619";"10619";"Pembuatan produk bijian t.t.t.l."
"";"lama-10404p";"10621";"Pembuatan kanji dan produk berkanji"
"";"lama-10621";"10621";"Pembuatan kanji dan produk berkanji"
"";"lama-10622";"10622";"Pembuatan glukosa, sirap glukosa, maltosa, inulin"
"";"lama-10623";"10623";"Pembuatan sagu dan tepung ubi kayu/ produk"
"";"lama-10711";"10711";"Pembuatan biskut dan cookies"
"";"lama-10712";"10712";"Pembuatan roti, kek dan produk bakeri lain"
"";"lama-10713";"10713";"Pembuatan produk snek"
"";"lama-10714";"10714";"Pembuatan produk bakeri yang dibeku"
"";"lama-10721";"10721";"Pembuatan gula"
"";"lama-10722";"10722";"Pembuatan produk daripada gula"
"";"lama-10731";"10731";"Pembuatan produk koko"
"";"lama-10732";"10732";"Pembuatan coklat dan produk coklat"
"";"lama-10733";"10733";"Pembuatan konfeksi gula"
"";"lama-10741";"10741";"Pembuatan bihun, mi dan produk lain yang berkaitan"
"";"lama-10742";"10742";"Pembuatan pasta"
"";"lama-10750";"10750";"Pembuatan makanan dan hidangan tersedia"
"";"lama-10791";"10761";"Pembuatan kopi"
"";"lama-10792";"10762";"Pembuatan teh"
"";"lama-10793";"10791";"Pembuatan sos dan bahan perasa"
"";"lama-10794";"10792";"Pembuatan rempah dan serbuk kari"
"";"lama-10795";"10793";"Pembuatan produk telur"
"";"lama-10799";"10799";"Pembuatan produk makanan lain t.t.t.l."
"";"lama-10800";"10800";"Pembuatan makanan haiwan tersedia"
"";"lama-11010";"11010";"Penyulingan, pembersihan dan pencampuran spirit"
"";"lama-11020";"11020";"Pembuatan wain"
"";"lama-11030p";"11030";"Pembuatan bir"
"";"lama-11030p";"11040";"Pembuatan malt"
"";"lama-11041";"11051";"Pembuatan minuman ringan"
"";"lama-11042";"11052";"Pengeluaran air mineral semula jadi dan minuman lain yang dibotolkan"
"";"lama-12000";"12000";"Pembuatan produk tembakau"
"";"lama-13110";"13110";"Penyediaan dan pemintalan gentian tekstil"
"";"lama-13120";"13120";"Penenunan tekstil"
"";"lama-13131";"13131";"Pembuatan batik"
"";"lama-13132";"13132";"Pewarnaan, pelunturan, pencetakan dan kemasan benang dan fabrik"
"";"lama-13139";"13139";"Kemasan tekstil lain"
"";"lama-13910";"13910";"Pembuatan fabrik dikait dan dikrusye"
"";"lama-13921";"13921";"Pembuatan artikel tersedia bagi bahan tekstil seumpamanya termasuk fabrik dikait dan dikrusye"
"";"lama-13922";"13922";"Pembuatan artikel perhiasan tersedia"
"";"lama-13930";"13930";"Pembuatan permaidani dan hamparan"
"";"lama-13940";"13940";"Pembuatan bagi tali-temali, tali, tali pintal dan jaring"
"";"lama-13990";"13990";"Pembuatan tekstil lain t.t.t.l."
"";"lama-14101";"14101";"Pembuatan pakaian spesifik"
"";"lama-14102";"14102";"Pembuatan pakaian"
"";"lama-14103";"14103";"Jahitan pakaian tempahan"
"";"lama-14109";"14109";"Pembuatan aksesori pakaian lain"
"";"lama-14200";"14200";"Pembuatan artikel yang diperbuat daripada kulit bulu"
"";"lama-14300";"14300";"Pembuatan pakaian yang dikait dan dikrusye"
"";"lama-15110";"15110";"Penyamakan dan pembersihan kulit| pembersihan dan pewarnaan bulu"
"";"lama-15120";"15120";"Pembuatan bagasi, beg tangan dan seumpamanya, pelana dan abah-abah daripada pelbagai bahan"
"";"lama-15201";"15201";"Pembuatan kasut kulit"
"";"lama-15202";"15202";"Pembuatan kasut plastik"
"";"lama-15203";"15203";"Pembuatan kasut getah"
"";"lama-15209";"15209";"Pembuatan kasut lain t.t.t.l."
"";"lama-16100";"16100";"Pengilangan dan pengetaman kayu"
"";"lama-16211";"16211";"Pembuatan kepingan venier dan papan lapis"
"";"lama-16212";"16212";"Pembuatan papan partikel dan papan gentian"
"";"lama-16221";"16221";"Pembuatan kayu untuk jurubina"
"";"lama-16222";"16222";"Pembuatan produk tanggam kayu"
"";"lama-16230";"16230";"Pembuatan bekas kayu"
"";"lama-16291";"16291";"Pembuatan kayu arang"
