"";""101-Tanaman";"A";"A";"01301";"Growing of plants for planting";"01301";"01301";"Growing of plants for planting"
"";""101-Tanaman";"A";"A";"01302";"Growing of plants for ornamental purposes";"01302";"01302";"Growing of plants for ornamental purposes"
"";""101-Tanaman";"A";"A";"01303";"Growing of live plants for bulbs, tubers and roots| cuttings and slips| mushroom spawn";"01303";"01303";"Growing of live plants for bulbs, tubers and roots| cuttings and slips| mushroom spawn"
"";""101-Tanaman";"A";"A";"01304";"Operation of tree nurseries";"01304";"01304";"Operation of tree nurseries"
"";""101-Tanaman";"A";"A";"01413";"Raising, breeding and production of buffaloes";"01411p";"01411";"Raising, breeding and production of cattle or buffaloes"
"";""101-Tanaman";"A";"A";"01411";"Raising, breeding and production of cattle";"01411p, 01413";"01411";"Raising, breeding and production of cattle or buffaloes"
"";""101-Tanaman";"A";"A";"01412";"Production of raw milk from cows or buffaloes";"01412";"01412";"Production of raw milk from cows or buffaloes"
"";""101-Tanaman";"A";"A";"01411";"Raising, breeding and production of cattle";"01411p, 01413";"01413";"Production of bovine semen"
"";""101-Tanaman";"A";"A";"01420";"Raising and breeding of horses, asses, mules or hinnes";"01420";"01420";"Raising and breeding of horses, asses, mules or hinnes"
"";""101-Tanaman";"A";"A";"01430";"Raising and breeding of camels (dromedary) and camelids";"01430";"01430";"Raising and breeding of camels (dromedary) and camelids"
"";""101-Tanaman";"A";"A";"01441";"Raising, breeding and production of sheep";"01441p";"01441";"Raising, breeding and production of sheep and goats"
"";""101-Tanaman";"A";"A";"01442";"Raising, breeding and production of goats";"01441p";"01441";"Raising, breeding and production of sheep and goats"
"";""101-Tanaman";"A";"A";"01443";"Production of raw milk of sheep or goats";"01442";"01442";"Production of raw sheep or goat’s milk"
"";""101-Tanaman";"A";"A";"01444";"Production of raw wool";"01443";"01443";"Production of raw wool"
"";""101-Tanaman";"A";"A";"01450";"Raising, breeding and production of swine/pigs";"01450";"01450";"Raising, breeding and production of swine/pigs"
"";""103-Ternakan";"A";"A";"01461";"Raising, breeding and production of chicken, broiler";"01461p";"01461";"Raising, breeding and production of chicken, broiler"
"";""103-Ternakan";"A";"A";"01463";"Raising, breeding and production of laying hens";"01461p";"01461";"Raising, breeding and production of chicken, broiler"
"";""103-Ternakan";"A";"A";"01462";"Raising, breeding and production of ducks";"01462";"01462";"Raising, breeding and production of ducks"
"";""103-Ternakan";"A";"A";"01465";"Raising and breeding of other poultry n.e.c.";"01463, 01465";"01463";"Raising, breeding and production of geese"
"";""103-Ternakan";"A";"A";"01464";"Raising, breeding and production of quails";"01464";"01464";"Raising, breeding and production of quails"
"";""103-Ternakan";"A";"A";"01465";"Raising and breeding of other poultry n.e.c.";"01463, 01465";"01465";"Raising and breeding of other poultry n.e.c."
"";""103-Ternakan";"A";"A";"01466";"Production of chicken eggs";"01466";"01466";"Production of chicken eggs"
"";""103-Ternakan";"A";"A";"01467";"Production of duck eggs";"01467";"01467";"Production of duck eggs"
"";""103-Ternakan";"A";"A";"01468";"Production of other poultry eggs n.e.c.";"01468";"01468";"Production of other poultry eggs n.e.c."
"";""103-Ternakan";"A";"A";"01469";"Operation of poultry hatcheries";"01469";"01469";"Operation of poultry hatcheries"
"";""103-Ternakan";"A";"A";"01491";"Raising, breeding and production of semi-domesticated";"01491";"01491";"Raising, breeding and production of semi-domesticated"
"";""103-Ternakan";"A";"A";"01492";"Production of fur skins, reptile or bird’s skin from ranching operation";"01492";"01492";"Production of fur skins, reptile or bird’s skin from ranching operation"
"";""103-Ternakan";"A";"A";"01493";"Operation of worm farms, land mollusc farms, snail farms";"01493";"01493";"Operation of worm farms, land mollusc farms, snail farms"
"";""103-Ternakan";"A";"A";"01494";"Raising of silk worms and production of silk worm cocoons";"01494";"01494";"Raising of silk worms and production of silk worm cocoons"
"";""103-Ternakan";"A";"A";"01495";"Bee keeping and production of honey and beeswax";"01495";"01495";"Bee keeping and production of honey and beeswax"
"";""103-Ternakan";"A";"A";"01496";"Raising and breeding of pet animals";"01496";"01496";"Raising and breeding of pet animals"
"";""103-Ternakan";"A";"A";"01497";"Raising and breeding of swiflet";"01497";"01497";"Raising and breeding of swiflet"
"";""103-Ternakan";"A";"A";"01499";"Raising of diverse/other animals n.e.c.";"01499";"01499";"Raising of diverse/other animals n.e.c."
"";""103-Ternakan";"A";"A";"01500";"Mixed farming";"01500";"01500";"Mixed farming"
"";""103-Ternakan";"A";"A";"01610";"Agricultural activities for crops production on a fee or contract basis";"01610";"01610";"Agricultural activities for crops production on a fee or contract basis"
"";""103-Ternakan";"A";"A";"01620";"Agricultural activities for animal production on a fee or contract basis";"01620";"01620";"Agricultural activities for animal production on a fee or contract basis"
"";""103-Ternakan";"A";"A";"01631";"Preparation of crops for primary markets";"01631p";"01631";"Preparation of crops for primary markets"
"";""103-Ternakan";"A";"A";"01639";"Other post-harvest crops activities n.e.c";"01631p";"01631";"Preparation of crops for primary markets"
"";""103-Ternakan";"A";"A";"01632";"Preparation of tobacco leaves";"01632";"01632";"Preparation of tobacco leaves"
"";""103-Ternakan";"A";"A";"01633";"Preparation of cocoa beans";"01633";"01633";"Preparation of cocoa beans"
"";""103-Ternakan";"A";"A";"01634";"Sun-drying of fruits and vegetables";"01634";"01634";"Sun-drying of fruits and vegetables"
"";""103-Ternakan";"A";"A";"01640";"Seed processing for propagation";"01640";"01640";"Seed processing for propagation"
"";""103-Ternakan";"A";"A";"01701";"Hunting and trapping on a commercial basis";"01701";"01701";"Hunting and trapping on a commercial basis"
